"","","Female"
"","Mogotio","45,088"
"","Tiaty East","35,068"
"Laikipia","","259,102"
"","Laikipia Central","47,705"
"","Laikipia East","50,732"
"","Laikipia North","18,116"
"","Laikipia West","64,102"
"","Nyahururu","78,447"
"Nakuru","","1,084,835"
"","Gilgil","92,247"
"","Kures oi North","87,599"
"","Kures oi South","77,117"
"","Molo","78,598"
"","Naivasha","176,132"
"","Nakuru East","100,960"
"","Nakuru North","111,880"
"","Nakuru West","96,854"
"","Njoro","120,408"
"","Rongai","99,922"
"","Subukia","43,118"
"Narok","","578,805"
"","Narok East","56,617"
"","Narok North","123,829"
"","Narok South","120,029"
"","Narok West","98,198"
"","Trans Mara East","56,637"
"","Trans Mara West","123,491"
"","Mau Forest *","4"
"Kajiado","","560,704"
"","Isinya","104,860"
"","Kajiado Central","80,343"
"","Kajiado North","155,908"
"","Kajiado West","91,237"
"","Loitokitok","97,225"
"","Mashuuru","31,131"
"Kericho","","451,008"
"","Belgut","72,564"
"","Bureti","100,642"
"","Kericho East","83,947"
"","Kipkelion","61,460"
"","Londiani","69,000"
"","Soin Sigowet","63,395"
"Bomet","","441,379"
"","Bomet East","73,172"
"","Chepalungu","84,912"
"","Konoin","80,384"
"","Sotik","115,482"
"","Bomet Central","87,429"
"Kakamega","","970,406"
"","Butere","80,463"
"","Kakamega Central","95,432"
"","Kakamega East","86,784"
"","Kakamega North","122,814"
"","Kakamega South","58,524"
"","Khwisero","59,803"
"","Likuyani","78,341"
"","Lugari","63,593"
"","Matete","34,423"
"","Matungu","88,143"
"","Mumias East","60,953"
"","Mumias West","60,438"
"","Navakholo","80.695"
"Vihiga","","306,323"
"","Emuhaya","50,633"
"","Vihiga","49,501"
"","Sabatia","68,683"
"","Luanda","55,165"
"","Hamisi","82,337"
"","Kakamega Forest *","4"
"Bungoma","","858,389"
"","Bumula","112,523"
"","Bungoma Central","91,438"
"","Bungoma East","58,771"
"","Bungoma North","62,526"
"","Bungoma South","148,055"
"","Cheptais","68,312"
"","Kimilili – Bungoma","83,475"
"","Mt. Elgon","39,893"
"","Bungoma West","61,649"
"","Tongaren","51,657"
"","Webuye West","78,331"
"","Mt. Elgon Forest *","1,759"
"Busia","","467,401"
"","Bunyala","44,511"
"","Busia","73,373"
"","Butula","75,195"
"","Nambale","58,732"
"","Samia","56,341"
"","Teso North","71,619"
"","Teso South","87,630"
"Siaya","","521,496"
"","Siaya","118,433"
"","Gem","94,092"
"","Ugenya","71,726"
"","Ugunja","55,329"
"","Bondo","101,917"
"","Rarieda","79,999"
"Kisumu","","594,609"
"","Kisumu East","112,689"
"","Kisumu Central","89,985"
"","Kisumu West","87,121"
"","Seme","64,007"
"","Muhoroni","77,345"
"","Nyando","84,380"
"","Nyakach","79,082"
"Homa Bay","","592,367"
"","Homa Bay","61,681"
"","Ndhiwa","114,422"
"","Rachuonyo North","93,273"
"","Rachuonyo East","64,111"
"","Rachuonyo South","69,151"
"","Rangwe","62,325"
"","Suba North","64,406"
"","Suba South","62,998"
"Migori","","580,214"
"","Awendo","60,939"
"","Kuria East","49,894"
"","Kuria West","107,417"
"","Nyatike","92,164"
"","Rongo","65,329"
"","Suna East","63,694"
"","Suna West","67,459"
"","Uriri","73,318"
"Kisii","","661,038"
"","Etago","43,647"
"","Gucha","44,108"
"","Gucha South","43,598"
"","Kenyenya","68,878"
"","Kisii Central","85,573"
"","Kisii South","70,615"
"","Kitutu Central","79,561"
"","Marani","56,864"
"","Masaba South","64,248"
"","Nyamache","68,782"
"","Sameta","35,164"
"Nyamira","","314,656"
"","Borabu","36,431"
"","Manga","49,339"
"","Masaba North","58,974"
"","Nyamira North","86,947"
"","Nyamira South","82,965"
"Nairobi City","","2,204,376"
"","Dagoretti","216,526"
"","Embakasi","496,270"
"","Kamukunji","131,599"
"","Kasarani","399,385"
"","Kibra","91,569"
"","Lang'ata","100,774"
"","Makadara","93,157"
"","Mathare","100,028"
"","Njiru","318,809"
"","Starehe","101,238"
"","Westlands","155,021"
